filename,success,text
ddl/alter_change_stream_options.sql,true,"ALTER CHANGE STREAM change_stream_name SET OPTIONS (retention_period = '1d', value_capture_type = 'OLD_AND_NEW_VALUES')
"
ddl/alter_change_stream_set_drop_for_all.sql,true,"ALTER CHANGE STREAM change_stream_name DROP FOR ALL
"
ddl/alter_change_stream_set_for_all.sql,true,"ALTER CHANGE STREAM change_stream_name SET FOR ALL
"
ddl/alter_change_stream_set_for_table_columns.sql,true,"ALTER CHANGE STREAM change_stream_name SET FOR table_name1(column1, column2), table_name2(column1, column2)
"
ddl/alter_index_add_stored_column.sql,true,"alter index foo add stored column bar
"
ddl/alter_index_drop_stored_column.sql,true,"alter index foo drop stored column bar
"
ddl/alter_sequence.sql,true,"ALTER SEQUENCE my_sequence SET OPTIONS (skip_range_min=1, skip_range_max=1234567)
"
ddl/alter_table_add_check.sql,true,"alter table foo add check (c1 > 0)
"
ddl/alter_table_add_column.sql,true,alter table foo add column baz string(max) not null
ddl/alter_table_add_column_if_not_exists.sql,true,"alter table foo add column if not exists baz string(max) not null
"
ddl/alter_table_add_column_with_if_expression.sql,true,"ALTER TABLE foo ADD COLUMN expired_at TIMESTAMP AS (IF (status != ""OPEN"" AND status != ""SCHEDULING"", TIMESTAMP_ADD(updated_at, INTERVAL 120 DAY), NULL)) STORED"
ddl/alter_table_add_constraint_check.sql,true,"alter table foo add constraint cname check (c1 > 0)
"
ddl/alter_table_add_constraint_foreign_key.sql,true,"alter table foo add constraint fkname foreign key (foo, bar) references t2 (t2key1, t2key2)
"
ddl/alter_table_add_constraint_foreign_key_on_delete_cascade.sql,true,"alter table foo add constraint fkname foreign key (foo, bar) references t2 (t2key1, t2key2) on delete cascade
"
ddl/alter_table_add_constraint_foreign_key_on_delete_no_action.sql,true,"alter table foo add constraint fkname foreign key (foo, bar) references t2 (t2key1, t2key2) on delete no action
"
ddl/alter_table_add_foreign_key.sql,true,"alter table foo add foreign key (bar) references t2 (t2key1)
"
ddl/alter_table_add_row_deletion_policy.sql,true,"alter table foo add row deletion policy ( older_than ( bar, interval 30 day ))
"
ddl/alter_table_alter_column.sql,true,alter table foo alter column foo string(256) not null
ddl/alter_table_alter_column_set.sql,true,alter table foo alter column foo set options(allow_commit_timestamp = true)
